"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","nt","stim","resp","slider_start"
"null","null","html-keyboard-response","397","2.0.0","1545032","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","186","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""which one?"",""put down""]",""
"3537","3","html-slider-response","398","2.0.0","1548571","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","399","2.0.0","1551773","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","187","[""sit_down_M_A.txt"",""sit_down_M_B.txt""]","[""come closer"",""sit down""]",""
"2632","93","html-slider-response","400","2.0.0","1554407","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","401","2.0.0","1557610","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","188","[""look_floor_M_A.txt"",""look_floor_M_B.txt""]","[""look at<br>the floor"",""give me""]",""
"3210","7","html-slider-response","402","2.0.0","1560822","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","403","2.0.0","1564024","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","189","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""help yourself""]",""
"2048","3","html-slider-response","404","2.0.0","1566075","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","405","2.0.0","1569276","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","190","[""no_M_A.txt"",""no_M_B.txt""]","[""put down"",""no""]",""
"2205","95","html-slider-response","406","2.0.0","1571483","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1461","{}","survey-html-form","407","2.0.0","1572945","","","","",""
"null","null","html-keyboard-response","408","2.0.0","1576147","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","191","[""imitate_me_M_A.txt"",""imitate_me_M_B.txt""]","[""go over there"",""imitate me""]",""
"3125","96","html-slider-response","409","2.0.0","1579274","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","410","2.0.0","1582477","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","192","[""no_M_A.txt"",""no_M_B.txt""]","[""no"",""help yourself""]",""
"2128","3","html-slider-response","411","2.0.0","1584608","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","412","2.0.0","1587809","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","193","[""sit_down_M_A.txt"",""sit_down_M_B.txt""]","[""go over there"",""sit down""]",""
"2040","94","html-slider-response","413","2.0.0","1589850","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","414","2.0.0","1593051","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","194","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""look at<br>the floor""]",""
"2818","6","html-slider-response","415","2.0.0","1595871","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","416","2.0.0","1599074","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","195","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""look at<br>the ceiling""]",""
"2229","2","html-slider-response","417","2.0.0","1601304","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","418","2.0.0","1604507","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","196","[""look_ceiling_M_A.txt"",""look_ceiling_M_B.txt""]","[""which one?"",""look at<br>the ceiling""]",""
"3015","96","html-slider-response","419","2.0.0","1607524","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","420","2.0.0","1610727","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","197","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""pick up"",""this tall""]",""
"2072","97","html-slider-response","421","2.0.0","1612800","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1063","{}","survey-html-form","422","2.0.0","1613865","","","","",""
"null","null","html-keyboard-response","423","2.0.0","1617067","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","198","[""move_over_M_A.txt"",""move_over_M_B.txt""]","[""move over"",""come closer""]",""
"2561","12","html-slider-response","424","2.0.0","1619630","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","425","2.0.0","1622832","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","199","[""put_down_M_A.txt"",""put_down_M_B.txt""]","[""come closer"",""put down""]",""
"2032","90","html-slider-response","426","2.0.0","1624866","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","427","2.0.0","1628068","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","200","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""I am angry"",""I am happy""]",""
"2609","3","html-slider-response","428","2.0.0","1630679","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","429","2.0.0","1633882","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","201","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""this tall"",""help yourself""]",""
"3063","90","html-slider-response","430","2.0.0","1636947","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","431","2.0.0","1640150","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","202","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""which one?"",""imitate me""]",""
"3083","6","html-slider-response","432","2.0.0","1643234","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","433","2.0.0","1646437","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","203","[""I_am_happy_M_A.txt"",""I_am_happy_M_B.txt""]","[""I am happy"",""go over there""]",""
"2172","2","html-slider-response","434","2.0.0","1648611","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","435","2.0.0","1651814","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","204","[""move_over_M_A.txt"",""move_over_M_B.txt""]","[""move over"",""this tall""]",""
"2024","7","html-slider-response","436","2.0.0","1653840","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1104","{}","survey-html-form","437","2.0.0","1654946","","","","",""
"null","null","html-keyboard-response","438","2.0.0","1658147","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","205","[""put_down_M_A.txt"",""put_down_M_B.txt""]","[""put down"",""help yourself""]",""
"3001","11","html-slider-response","439","2.0.0","1661149","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","440","2.0.0","1664352","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","206","[""no_M_A.txt"",""no_M_B.txt""]","[""sit down"",""no""]",""
"2617","95","html-slider-response","441","2.0.0","1666971","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","442","2.0.0","1670174","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","207","[""pick_up_M_A.txt"",""pick_up_M_B.txt""]","[""pick up"",""go over there""]",""
"2642","5","html-slider-response","443","2.0.0","1672817","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","444","2.0.0","1676020","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","208","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""put down"",""help yourself""]",""
"2439","4","html-slider-response","445","2.0.0","1678460","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","446","2.0.0","1681662","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","209","[""move_it_M_A.txt"",""move_it_M_B.txt""]","[""I am angry"",""move it""]",""
"2154","91","html-slider-response","447","2.0.0","1683818","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","448","2.0.0","1687019","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","210","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""look at<br>the ceiling"",""help yourself""]",""
"2333","86","html-slider-response","449","2.0.0","1689354","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","450","2.0.0","1692556","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","211","[""I_am_happy_M_A.txt"",""I_am_happy_M_B.txt""]","[""give me"",""I am happy""]",""
"1784","97","html-slider-response","451","2.0.0","1694342","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1014","{}","survey-html-form","452","2.0.0","1695358","","","","",""
"null","null","html-keyboard-response","453","2.0.0","1698559","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","212","[""look_ceiling_M_A.txt"",""look_ceiling_M_B.txt""]","[""look at<br>the ceiling"",""this tall""]",""
"3065","2","html-slider-response","454","2.0.0","1701627","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","455","2.0.0","1704829","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","213","[""I_am_happy_M_A.txt"",""I_am_happy_M_B.txt""]","[""look at<br>the ceiling"",""I am happy""]",""
"2428","95","html-slider-response","456","2.0.0","1707260","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","457","2.0.0","1710462","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","214","[""pick_up_M_A.txt"",""pick_up_M_B.txt""]","[""no"",""pick up""]",""
"2210","91","html-slider-response","458","2.0.0","1712674","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","459","2.0.0","1715876","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","215","[""go_overthere_M_A.txt"",""go_overthere_M_B.txt""]","[""help yourself"",""go over there""]",""
"2315","92","html-slider-response","460","2.0.0","1718193","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","461","2.0.0","1721394","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","216","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""I am angry"",""sit down""]",""
"2222","2","html-slider-response","462","2.0.0","1723617","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","463","2.0.0","1726819","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","217","[""no_M_A.txt"",""no_M_B.txt""]","[""give me"",""no""]",""
"1869","94","html-slider-response","464","2.0.0","1728690","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","465","2.0.0","1731892","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","218","[""I_am_happy_M_A.txt"",""I_am_happy_M_B.txt""]","[""I am happy"",""which one?""]",""
"2317","6","html-slider-response","466","2.0.0","1734211","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1266","{}","survey-html-form","467","2.0.0","1735479","","","","",""
"null","null","html-keyboard-response","468","2.0.0","1738681","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","219","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""this tall"",""look at<br>the ceiling""]",""
"2487","3","html-slider-response","469","2.0.0","1741170","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","470","2.0.0","1744373","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","220","[""I_am_happy_M_A.txt"",""I_am_happy_M_B.txt""]","[""I am happy"",""this tall""]",""
"3040","3","html-slider-response","471","2.0.0","1747415","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","472","2.0.0","1750618","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","221","[""no_M_A.txt"",""no_M_B.txt""]","[""I am happy"",""no""]",""
"3218","96","html-slider-response","473","2.0.0","1753838","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","474","2.0.0","1757040","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","222","[""move_over_M_A.txt"",""move_over_M_B.txt""]","[""I am happy"",""move over""]",""
"2634","86","html-slider-response","475","2.0.0","1759676","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","476","2.0.0","1762879","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","223","[""no_M_A.txt"",""no_M_B.txt""]","[""pick up"",""no""]",""
"2488","100","html-slider-response","477","2.0.0","1765369","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","478","2.0.0","1768572","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","224","[""give_me_M_A.txt"",""give_me_M_B.txt""]","[""give me"",""move it""]",""
"2363","11","html-slider-response","479","2.0.0","1770938","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","480","2.0.0","1774139","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","225","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""go over there""]",""
"2123","7","html-slider-response","481","2.0.0","1776264","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1520","{}","survey-html-form","482","2.0.0","1777785","","","","",""
"null","null","html-keyboard-response","483","2.0.0","1780987","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","226","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""which one?"",""I am happy""]",""
"1924","2","html-slider-response","484","2.0.0","1782913","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","485","2.0.0","1786116","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","227","[""give_me_M_A.txt"",""give_me_M_B.txt""]","[""give me"",""move over""]",""
"1927","2","html-slider-response","486","2.0.0","1788045","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","487","2.0.0","1791248","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","228","[""look_floor_M_A.txt"",""look_floor_M_B.txt""]","[""which one?"",""look at<br>the floor""]",""
"2926","95","html-slider-response","488","2.0.0","1794176","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","489","2.0.0","1797378","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","229","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""give me"",""help yourself""]",""
"3674","93","html-slider-response","490","2.0.0","1801055","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
